iter	Passed	Remaining
0	3	670
1	5	580
2	8	555
3	10	529
4	13	519
5	16	524
6	18	521
7	21	515
8	23	506
9	26	502
10	28	494
11	31	492
12	33	485
13	36	480
14	38	474
15	40	469
16	43	469
17	46	466
18	48	463
19	51	460
20	53	456
21	56	453
22	58	450
23	61	447
24	63	443
25	65	440
26	68	438
27	70	435
28	73	433
29	75	430
30	78	427
31	80	424
32	83	421
33	85	418
34	88	415
35	90	412
36	93	409
37	95	406
38	97	403
39	100	401
40	102	399
41	105	397
42	108	395
43	110	393
44	113	391
45	116	388
46	118	386
47	121	383
48	123	381
49	126	378
50	129	377
51	131	374
52	134	372
53	136	370
54	139	368
55	142	367
56	145	364
57	148	362
58	150	360
59	153	357
60	156	355
61	158	353
62	161	350
63	164	348
64	166	346
65	169	344
66	172	341
67	174	339
68	177	336
69	179	334
70	182	331
71	185	329
72	187	326
73	190	323
74	192	321
75	195	318
76	197	315
77	200	313
78	202	310
79	205	308
80	207	305
81	210	302
82	212	300
83	215	297
84	217	294
85	220	291
86	222	289
87	225	286
88	227	284
89	230	281
90	232	279
91	235	276
92	238	273
93	240	271
94	243	269
95	246	266
96	248	264
97	251	261
98	254	259
99	256	256
100	259	254
101	262	252
102	266	250
103	268	248
104	271	245
105	274	243
106	278	241
107	281	239
108	284	237
109	287	235
110	291	233
111	294	231
112	297	229
113	300	227
114	304	224
115	307	222
116	310	220
117	314	218
118	317	216
119	320	213
120	324	211
121	327	209
122	331	207
123	334	204
124	338	202
125	341	200
126	344	198
127	348	195
128	351	193
129	355	191
130	358	188
131	361	186
132	365	184
133	369	181
134	372	179
135	375	176
136	379	174
137	382	171
138	386	169
139	389	167
140	393	164
141	397	162
142	400	159
143	404	157
144	407	154
145	410	151
146	413	148
147	416	146
148	419	143
149	422	140
150	425	137
151	428	135
152	431	132
153	433	129
154	436	126
155	439	123
156	442	121
157	444	118
158	447	115
159	449	112
160	452	109
161	455	106
162	458	104
163	461	101
164	464	98
165	466	95
166	469	92
167	472	90
168	475	87
169	479	84
170	482	81
171	484	78
172	487	76
173	490	73
174	492	70
175	496	67
176	499	64
177	501	62
178	504	59
179	507	56
180	510	53
181	513	50
182	517	48
183	520	45
184	523	42
185	525	39
186	528	36
187	531	33
188	534	31
189	537	28
190	539	25
191	542	22
192	544	19
193	547	16
194	551	14
195	553	11
196	556	8
197	559	5
198	562	2
199	564	0
